City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Hanna,CA,51.6334,-111.9018,0.86,80,100,13.0,overcast clouds
204,Nantucket,US,41.2835,-70.0995,43.03,100,100,29.08,light rain
205,Tirano,IT,46.2154,10.1679,47.17,78,13,3.49,few clouds
206,Byron Bay,AU,-28.65,153.6167,69.87,63,100,21.41,overcast clouds
207,Hambantota,LK,6.1241,81.1185,76.6,78,28,7.2,scattered clouds
208,Uberlandia,BR,-18.9186,-48.2772,80.53,61,91,5.95,overcast clouds
209,Tuni,IN,17.35,82.55,71.8,90,7,5.19,clear sky
210,Yaounde,CM,3.8667,11.5167,82.56,27,82,2.17,broken clouds
211,Mount Isa,AU,-20.7333,139.5,73.17,38,74,10.36,broken clouds
212,Presidente Medici,BR,-11.1753,-61.9014,85.51,69,87,5.08,overcast clouds
213,Roald,NO,62.5833,6.1333,37.99,87,75,32.21,broken clouds
214,Ponta Do Sol,PT,32.6667,-17.1,71.01,79,83,1.3,broken clouds
215,Pangnirtung,CA,66.1451,-65.7125,-19.79,97,100,6.26,overcast clouds
216,Labytnangi,RU,66.6572,66.4183,6.84,96,100,4.07,overcast clouds
217,Jasper,US,37.2001,-94.3502,24.03,64,0,1.01,clear sky
218,Port-Cartier,CA,50.0334,-66.8654,3.74,71,59,5.61,broken clouds
219,Arrecife,ES,28.963,-13.5477,69.87,68,0,6.91,clear sky
220,Port Hardy,CA,50.6996,-127.4199,46.76,93,100,13.33,moderate rain
221,Kondopoga,RU,62.2057,34.2614,-3.87,100,96,4.18,overcast clouds
222,Te Anau,NZ,-45.4167,167.7167,44.78,95,97,3.98,overcast clouds
223,Cabano,PH,10.5869,122.7002,77.11,84,100,22.41,overcast clouds
224,Chervona Sloboda,UA,49.3789,32.1464,17.08,95,17,5.68,few clouds
225,Iznoski,RU,54.9881,35.3108,18.91,96,100,2.13,overcast clouds
226,College,US,64.8569,-147.8028,1.72,70,100,3.44,light snow
227,Ust-Nera,RU,64.5667,143.2,-19.43,79,28,0.47,scattered clouds
228,Manggar,ID,-2.8833,108.2667,79.11,84,65,7.18,broken clouds
