City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,Zhigansk,66.7697,123.3711,-22.99,100,100,4.41,RU,2022-01-26 22:27:10
284,Rivera,-30.9053,-55.5508,74.48,95,100,8.93,UY,2022-01-26 22:27:10
285,Raichur,16.2,77.3667,70.18,46,84,11.03,IN,2022-01-26 22:27:10
286,Saldanha,-33.0117,17.9442,64.36,93,5,14.2,ZA,2022-01-26 22:27:11
287,Lukang,24.0567,120.4352,66.43,89,100,12.8,TW,2022-01-26 22:27:11
288,Santa Cruz,-17.8,-63.1667,89.65,48,40,18.41,BO,2022-01-26 22:24:28
289,Reguengos De Monsaraz,38.4253,-7.5349,53.28,68,97,9.91,PT,2022-01-26 22:27:12
290,Acapulco,16.8634,-99.8901,85.82,66,0,8.05,MX,2022-01-26 22:22:29
291,Benton Harbor,42.1167,-86.4542,16.03,45,0,6.91,US,2022-01-26 22:25:54
292,Mbulu,-3.85,35.5333,58.55,78,71,5.82,TZ,2022-01-26 22:27:12
293,Alikalia,9.1667,-11.4,72.63,21,90,0.92,SL,2022-01-26 22:27:13
294,Santiago,-33.4569,-70.6483,85.28,36,0,8.05,CL,2022-01-26 22:26:36
295,Siguiri,11.6667,-9.5,75.27,13,82,3.06,GN,2022-01-26 22:27:13
296,Cidreira,-30.1811,-50.2056,76.87,92,68,6.85,BR,2022-01-26 22:26:50
297,Rio Grande,-32.035,-52.0986,78.94,91,100,14.65,BR,2022-01-26 22:27:14
298,Lagos,6.5833,3.75,79.12,84,0,3.53,NG,2022-01-26 22:22:40
299,Goderich,43.7501,-81.7165,16.92,57,98,11.5,CA,2022-01-26 22:27:14
300,Henties Bay,-22.116,14.2845,65.86,86,88,4.14,NA,2022-01-26 22:24:04
301,Martapura,-3.4167,114.85,78.89,94,100,2.3,ID,2022-01-26 22:27:14
302,Lerwick,60.1545,-1.1494,48.2,82,83,34.99,GB,2022-01-26 22:27:15
303,Podor,16.6527,-14.9587,82.35,21,0,2.3,MR,2022-01-26 22:27:15
304,Koshki,54.2091,50.4677,10.42,95,100,7.65,RU,2022-01-26 22:27:16
305,Jaciara,-15.9653,-54.9683,76.68,85,93,5.06,BR,2022-01-26 22:27:16
306,Cairo,30.0626,31.2497,47.23,75,40,13.8,EG,2022-01-26 22:22:29
307,Alofi,-19.0595,-169.9187,80.49,94,75,9.22,NU,2022-01-26 22:27:16
308,Salinas,36.6777,-121.6555,68.99,53,0,0.0,US,2022-01-26 22:27:17
309,Sao Francisco,-15.9486,-44.8644,72.21,88,89,5.48,BR,2022-01-26 22:27:17
310,Kulhudhuffushi,6.6221,73.07,78.67,58,100,8.1,MV,2022-01-26 22:27:17
311,Panzhihua,26.5851,101.7128,44.55,77,1,1.63,CN,2022-01-26 22:27:18
312,Kensington,-33.9167,151.2167,77.76,69,75,1.99,AU,2022-01-26 22:27:18
313,Moron,-34.6534,-58.6198,74.95,63,100,14.94,AR,2022-01-26 22:27:18
314,Caucaia,-3.7361,-38.6531,84.07,76,20,9.22,BR,2022-01-26 22:27:19
315,Puerto Madryn,-42.7692,-65.0385,64.76,57,2,16.87,AR,2022-01-26 22:27:19
316,Lugovoy,42.9472,72.7644,25.95,53,0,6.33,KZ,2022-01-26 22:27:19
317,Saint-Georges,12.0564,-61.7485,80.28,74,75,5.75,GD,2022-01-26 22:27:20
318,Mortara,45.2473,8.7355,38.53,87,2,1.48,IT,2022-01-26 22:27:20
319,Meulaboh,4.1363,96.1285,75.99,84,99,2.64,ID,2022-01-26 22:28:20
320,Muromtsevo,56.3724,75.2418,-11.02,100,100,3.27,RU,2022-01-26 22:28:21
321,Merauke,-8.4667,140.3333,78.62,86,100,11.61,ID,2022-01-26 22:28:21
322,Port Blair,11.6667,92.75,78.84,78,20,1.14,IN,2022-01-26 22:28:21
323,Waddan,29.1614,16.139,45.14,56,4,5.84,LY,2022-01-26 22:28:22
324,Dingle,10.9995,122.6711,75.31,94,51,6.2,PH,2022-01-26 22:28:22
325,Polazna,58.2946,56.4055,-1.01,99,99,2.57,RU,2022-01-26 22:28:22
326,Lashio,22.9333,97.75,50.99,99,51,1.14,MM,2022-01-26 22:28:23
327,Alice Springs,-23.7,133.8833,80.15,74,80,5.75,AU,2022-01-26 22:25:50
328,Fortuna,40.5982,-124.1573,61.41,79,0,5.01,US,2022-01-26 22:28:23
329,Port Lincoln,-34.7333,135.8667,68.54,89,30,8.46,AU,2022-01-26 22:28:23
330,Skibbereen,51.55,-9.2667,49.8,96,100,16.82,IE,2022-01-26 22:28:24
331,Eydhafushi,5.1033,73.0708,79.34,64,95,12.28,MV,2022-01-26 22:28:24
332,Kovdor,67.5662,30.4758,12.63,97,100,4.05,RU,2022-01-26 22:28:24
333,Constitucion,-35.3333,-72.4167,65.25,75,15,10.16,CL,2022-01-26 22:28:25
334,Palana,59.1167,159.9667,-1.37,95,100,10.09,RU,2022-01-26 22:28:25
335,Kruisfontein,-34.0033,24.7314,66.88,95,100,3.67,ZA,2022-01-26 22:28:25
336,Sitka,57.0531,-135.33,37.29,81,75,4.61,US,2022-01-26 22:28:26
337,Komsomolskiy,40.4272,71.7189,33.22,80,0,6.91,UZ,2022-01-26 22:28:26
