City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
146,Bredasdorp,ZA,68.29,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
147,Esperance,AU,65.44,clear sky,-33.8667,121.9,Hospitality Esperance
150,Pisco,PE,74.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
151,Marzuq,YE,66.42,few clouds,14.4,46.4667,
152,Jilib,SO,77.05,overcast clouds,0.4883,42.7854,Waadi Hotel
160,Soyo,AO,79.99,overcast clouds,-6.1349,12.3689,Hotel Mpampa
163,Banda Aceh,ID,78.73,scattered clouds,5.5577,95.3222,Sulthan Hotel International
164,Rocha,UY,79.0,broken clouds,-34.4833,-54.3333,Hotel Arrarte
169,Bulungu,CD,74.28,overcast clouds,-4.55,18.6,
170,Eyl,SO,74.44,clear sky,7.9803,49.8164,Amiin Hotel
171,Georgetown,MY,78.89,scattered clouds,5.4112,100.3354,Cititel Penang
176,Kahului,US,67.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
186,Kavaratti,IN,79.12,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
206,Byron Bay,AU,69.87,overcast clouds,-28.65,153.6167,Backpackers Inn
207,Hambantota,LK,76.6,scattered clouds,6.1241,81.1185,Bungalow 63
209,Tuni,IN,71.8,clear sky,17.35,82.55,Sai Krishna Lodge
211,Mount Isa,AU,73.17,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
214,Ponta Do Sol,PT,71.01,broken clouds,32.6667,-17.1,Hotel do Campo
219,Arrecife,ES,69.87,clear sky,28.963,-13.5477,Hotel Lancelot
223,Cabano,PH,77.11,overcast clouds,10.5869,122.7002,The Clara Beach and Guest House (official)
228,Manggar,ID,79.11,broken clouds,-2.8833,108.2667,Guest Hotel
229,Pathein,MM,69.98,scattered clouds,16.7833,94.7333,New Pammawaddy Hotel
233,Taltal,CL,70.05,clear sky,-25.4,-70.4833,Residencial Karime
234,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
240,Saint-Joseph,RE,79.18,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
245,Bundaberg,AU,70.21,overcast clouds,-24.85,152.35,Takalvan Motel
246,Miraflores,MX,65.05,clear sky,19.2167,-98.8083,Hotel Mansión
248,Najran,SA,71.13,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
249,Hualmay,PE,75.56,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
252,Tirumullaivasal,IN,76.77,scattered clouds,11.2333,79.8333,Almupaark complex
254,Mana,GF,79.18,light rain,5.6592,-53.7767,LE SAMANA
258,Tam Ky,VN,66.18,overcast clouds,15.5667,108.4833,Khách Sạn Đông Á
261,Kapit,MY,73.74,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
271,Ewa Beach,US,68.68,clear sky,21.3156,-158.0072,Uncle Junior Robert
277,Mayumba,GA,78.6,overcast clouds,-3.432,10.6554,LIKWALE LODGE
283,Richards Bay,ZA,73.13,moderate rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
289,Solok,ID,71.1,light rain,-0.7918,100.6593,Mami Hotel & Restaurant
293,Vila Franca Do Campo,PT,65.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
296,Puerto Varas,CL,65.86,broken clouds,-41.3195,-72.9854,Hotel Solace Puerto Varas
300,Borsad,IN,65.41,clear sky,22.4167,72.9,HOTEL DREAM RESIDENCY
301,Lumphat,KH,72.68,clear sky,13.4878,106.9816,Lumphat Homestay
309,Isangel,VU,78.15,moderate rain,-19.55,169.2667,Tanna Lodge
310,Pedra Azul,BR,79.34,overcast clouds,-16.0053,-41.2972,Pousada Pedra Azul
314,Oranjestad,AW,79.09,clear sky,12.524,-70.027,Divi Village Golf & Beach Resort
316,Ormara,PK,71.98,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
325,Kruisfontein,ZA,66.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
326,Matara,LK,74.71,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
335,Ati,TD,76.33,clear sky,13.2154,18.3353,
336,Duiwelskloof,ZA,74.12,light rain,-23.6934,30.14,Silvermist Guesthouse
337,Yarada,IN,77.32,mist,17.65,83.2667,Yarada Jungle Beach Resorts
338,Lompoc,US,65.12,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
341,Dingle,PH,73.76,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
342,Alice Town,BS,74.48,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
343,East London,ZA,65.34,broken clouds,-33.0153,27.9116,Tu Casa
350,Nouadhibou,MR,68.94,clear sky,20.931,-17.0347,El Medina
352,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
354,Grand-Santi,GF,78.76,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
356,Catumbela,AO,77.54,overcast clouds,-12.4314,13.5472,Hotel Do Kamgamba
360,Karawang,ID,77.09,overcast clouds,-6.3042,107.3079,SPOT ON 2412 Mandala Residence
361,Port Elizabeth,ZA,69.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
364,Hukuntsi,BW,79.84,light rain,-24.0,21.75,Entabeni Hotel
367,Letlhakeng,BW,79.61,overcast clouds,-24.0944,25.0298,fenugreek
